Name,Score,Genres,Type,Episodes,Premiered,Studios,Rating,Members,Favorites
Agigongryong Doolie,6.25,"Adventure, Kids",TV,6,Fall 1987,Unknown,PG - Children,406,1
Agigongryong Doolie (2009),Unknown,"Adventure, Kids",TV,26,Winter 2009,Unknown,PG - Children,320,1
Dallyeola Hani,6.67,Sports,TV,13,Summer 1988,Daewon Media,G - All Ages,601,1
Lolling Seutajeu,Unknown,"Kids, Sports",TV,26,Spring 2009,Unknown,PG - Children,214,0
Wala! Pyeon-uijeom The Animation,Unknown,Slice of Life,TV,24,Fall 2009,Unknown,G - All Ages,231,0
Pokemon Best Wishes! Season 2: Episode N,6.68,"Action, Adventure, Comedy, Kids, Fantasy",TV,14,Winter 2013,OLM,PG - Children,31492,100
Chokkyuu Hyoudai Robot Anime: Straight Title,5.85,"Comedy, Mecha",TV,12,Winter 2013,Bouncy,PG-13 - Teens 13 or older,2094,4
Kara The Animation,5.45,Action,TV,5,Winter 2013,Unknown,PG-13 - Teens 13 or older,962,3
Gakkatsu! 2nd Season,6.44,"Comedy, School",TV,25,Winter 2013,Fanworks,G - All Ages,1703,3
Machine-Doll wa Kizutsukanai,7.15,"Action, Ecchi, Fantasy, School",TV,12,Fall 2013,Lerche,R+ - Mild Nudity,264089,658
Pretty Rhythm: Rainbow Live,7.52,"Slice of Life, Sports, Music, Shoujo",TV,51,Spring 2013,"Tatsunoko Production, Dongwoo A&E",PG - Children,9951,169
Log Horizon,8,"Action, Game, Adventure, Magic, Fantasy",TV,25,Fall 2013,Satelight,PG-13 - Teens 13 or older,872925,10085
Futari wa Milky Holmes,5.8,"Mystery, Comedy, Super Power",TV,12,Summer 2013,J.C.Staff,PG-13 - Teens 13 or older,9293,12
Jinzou Konchuu Kabutoborg VxV,6.17,"Action, Comedy, Fantasy, Game, Shounen",TV,52,Fall 2006,Unknown,G - All Ages,545,4
Tenpou Suikoden Neo,5.23,Historical,TV,5,Winter 2013,Kachidoki Studio,PG-13 - Teens 13 or older,880,2
Kingdom 2nd Season,8.39,"Action, Military, Historical, Seinen",TV,39,Summer 2013,Studio Pierrot,R - 17+ (violence & profanity),79350,698
Chingou Muchabee,Unknown,"Adventure, Comedy",TV,51,Winter 1971,Unknown,G - All Ages,254,0
Otoko Ippiki Gaki Daishou,Unknown,"Action, Drama, Shounen",TV,156,Fall 1969,Unknown,PG-13 - Teens 13 or older,687,2
Jewelpet Happiness,6.7,"Fantasy, Magic, Shoujo",TV,52,Spring 2013,Studio Comet,PG - Children,2557,16
Mushibugyou,7.35,"Action, Historical, Super Power, Ecchi, Martial Arts, Samurai, Fantasy, Shounen",TV,26,Spring 2013,Seven Arcs Pictures,PG-13 - Teens 13 or older,73702,177
Diabolik Lovers,5.3,"Harem, School, Shoujo, Vampire",TV,12,Fall 2013,Zexcs,R - 17+ (violence & profanity),247790,1920
Non Non Biyori,7.95,"Comedy, School, Seinen, Slice of Life",TV,12,Fall 2013,SILVER LINK.,PG-13 - Teens 13 or older,295922,4637
Non-tan to Issho,Unknown,Kids,TV,263,Fall 1992,Studio Pierrot,PG - Children,272,0
Souya Monogatari,Unknown,"Adventure, Drama, Historical",TV,21,Winter 1984,Unknown,Unknown,333,0
Futago no Monchhichi,Unknown,"Comedy, Kids",TV,130,Winter 1980,Unknown,PG - Children,238,1
Genei wo Kakeru Taiyou,6.42,Magic,TV,13,Summer 2013,AIC,R - 17+ (violence & profanity),47877,115
Harisu no Kaze,Unknown,"Comedy, School",TV,70,Spring 1966,Unknown,Unknown,369,1
Kunimatsu-sama no Otoridai,Unknown,"Comedy, School, Sports",TV,46,Fall 1971,Unknown,Unknown,329,0
Animal 1,Unknown,Sports,TV,27,Spring 1968,Unknown,PG-13 - Teens 13 or older,429,1
Zettai Bouei Leviathan,6.31,"Fantasy, Magic, Comedy",TV,13,Spring 2013,Gonzo,PG-13 - Teens 13 or older,25216,37
Bemubemu Hunter Kotengu Tenmaru,Unknown,"Adventure, Fantasy",TV,19,Spring 1983,Toei Animation,Unknown,314,1
