Name,Score,Genres,Type,Episodes,Premiered,Studios,Rating,Members,Favorites
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,Spring 1998,Sunrise,R - 17+ (violence & profanity),1251960,61971
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,Spring 1998,Madhouse,PG-13 - Teens 13 or older,558913,12944
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,Summer 2002,Sunrise,PG-13 - Teens 13 or older,94683,587
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,Fall 2004,Toei Animation,PG - Children,13224,18
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,Spring 2005,Gallop,PG-13 - Teens 13 or older,148259,2066
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,Spring 2005,J.C.Staff,PG-13 - Teens 13 or older,214499,4101
Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,Fall 2002,Nippon Animation,PG-13 - Teens 13 or older,20470,231
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,Spring 2004,A.C.G.T.,PG-13 - Teens 13 or older,117929,979
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,Spring 2004,Madhouse,R+ - Mild Nudity,614100,29436
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,Fall 2002,Studio Pierrot,PG-13 - Teens 13 or older,1830540,65586
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,1150,Fall 1999,Toei Animation,PG-13 - Teens 13 or older,1352724,126645
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,Fall 2001,Trans Arts,PG-13 - Teens 13 or older,141832,3124
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,Fall 2004,Toei Animation,PG - Children,3648,16
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,Fall 2004,Studio Comet,PG-13 - Teens 13 or older,275464,5137
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,Fall 2004,Gonzo,R - 17+ (violence & profanity),111734,790
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,Spring 2003,Madhouse,R+ - Mild Nudity,182599,3671
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,Spring 2005,Gonzo,R - 17+ (violence & profanity),158343,1479
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,Fall 2004,Sunrise,PG-13 - Teens 13 or older,80183,887
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,Fall 2004,Studio Deen,PG-13 - Teens 13 or older,16652,152
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,Fall 1995,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older,1160651,71308
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,Fall 1997,OLM,R+ - Mild Nudity,432190,18567
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,Winter 1996,"Gallop, Studio Deen",PG-13 - Teens 13 or older,386195,11236
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,Spring 2002,Bee Train,PG-13 - Teens 13 or older,158227,1359
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,Winter 2005,AIC,PG-13 - Teens 13 or older,135747,1124
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,Spring 2001,Bones,PG-13 - Teens 13 or older,51022,290
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,94793,458
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,Spring 1999,Bee Train,R - 17+ (violence & profanity),14187,17
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,Fall 2003,"Bee Train, Xebec",R - 17+ (violence & profanity),15779,21
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,Fall 2004,Madhouse,R - 17+ (violence & profanity),255668,7038
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,Fall 1999,AIC,R+ - Mild Nudity,65360,389
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,Spring 2002,Madhouse,PG-13 - Teens 13 or older,402646,3859
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,Fall 2003,Gonzo,R - 17+ (violence & profanity),198007,2064
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,Spring 2003,Xebec,PG-13 - Teens 13 or older,167615,1523
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,Summer 2003,"feel., Zexcs",PG-13 - Teens 13 or older,67491,189
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,Summer 2004,Daume,R+ - Mild Nudity,128788,391
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2004,Nomad,PG-13 - Teens 13 or older,176775,2074
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,Fall 2005,Nomad,PG-13 - Teens 13 or older,93768,516
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,262980,5181
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,Spring 2005,Gonzo,R - 17+ (violence & profanity),156661,1467
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,Fall 2005,Gonzo,PG-13 - Teens 13 or older,231668,1955
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,Fall 2005,Sunrise,PG-13 - Teens 13 or older,9299,13
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,Winter 2002,Gonzo,R - 17+ (violence & profanity),411230,4417
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,Summer 2003,Kyoto Animation,PG-13 - Teens 13 or older,254465,2988
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,Summer 2005,Kyoto Animation,R - 17+ (violence & profanity),227927,1358
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,Fall 2004,Group TAC,G - All Ages,81446,1613
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,Summer 2004,Xebec,PG-13 - Teens 13 or older,40602,255
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2004,Seven Arcs,PG-13 - Teens 13 or older,88890,1036
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,Fall 2005,Seven Arcs,PG-13 - Teens 13 or older,56981,1014
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,Summer 2005,Asread,R+ - Mild Nudity,240751,1572
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,Spring 1979,Sunrise,PG-13 - Teens 13 or older,97216,1787
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,Spring 1985,Sunrise,PG-13 - Teens 13 or older,53822,1721
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,Spring 1986,Sunrise,PG-13 - Teens 13 or older,30758,130
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,Spring 1993,"Sunrise, Studio Deen",PG-13 - Teens 13 or older,20794,95
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,Spring 1995,Sunrise,PG-13 - Teens 13 or older,132208,2538
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,Spring 1996,Sunrise,PG-13 - Teens 13 or older,28862,189
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2002,Sunrise,R - 17+ (violence & profanity),140346,3584
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Fall 2004,Sunrise,R - 17+ (violence & profanity),90208,1206
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,Spring 1999,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older,35670,760
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,Spring 1994,Sunrise,PG-13 - Teens 13 or older,55463,896
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,Spring 2003,Gonzo,PG-13 - Teens 13 or older,149528,1848
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,Fall 2004,Sunrise,PG-13 - Teens 13 or older,101495,1262
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,Fall 2005,Sunrise,PG-13 - Teens 13 or older,46018,333
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,Spring 2001,Hal Film Maker,PG-13 - Teens 13 or older,53508,457
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,Winter 2005,Kyoto Animation,PG-13 - Teens 13 or older,259381,2704
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,Spring 2004,TMS Entertainment,PG-13 - Teens 13 or older,89533,571
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,Winter 1994,Gallop,G - All Ages,12006,88
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,Spring 2000,Studio Pierrot,R - 17+ (violence & profanity),53189,535
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13,Spring 2000,Hal Film Maker,PG-13 - Teens 13 or older,20032,41
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51,Fall 1996,Toei Animation,PG-13 - Teens 13 or older,48623,762
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,Spring 2002,Studio Deen,PG-13 - Teens 13 or older,32988,210
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,Spring 2004,Gonzo,PG-13 - Teens 13 or older,62106,257
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52,Spring 1997,Nippon Animation,PG-13 - Teens 13 or older,15608,107
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,Spring 1999,Nippon Animation,PG - Children,12222,50
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,Winter 2004,"Imagin, Studio Live",PG-13 - Teens 13 or older,7392,5
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,Spring 2003,Xebec,PG-13 - Teens 13 or older,20924,127
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,Fall 2003,Production I.G,PG-13 - Teens 13 or older,112001,1561
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,Winter 1998,AIC,PG-13 - Teens 13 or older,9684,10
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,Fall 1995,AIC,PG-13 - Teens 13 or older,14603,35
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,Fall 2004,Zexcs,PG-13 - Teens 13 or older,31774,48
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,Summer 2001,Studio Deen,PG-13 - Teens 13 or older,420919,9504
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,Fall 2003,Bones,PG-13 - Teens 13 or older,1151621,26564
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,Spring 2002,Studio Deen,PG-13 - Teens 13 or older,90884,1823
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,Spring 1995,Studio Pierrot,PG-13 - Teens 13 or older,96861,2277
Futakoi,6.49,"Comedy, Romance, School",TV,13,Fall 2004,Telecom Animation Film,PG-13 - Teens 13 or older,31358,22
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,Spring 2005,"ufotable, feel., Studio Flag",PG-13 - Teens 13 or older,28297,71
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,Spring 2000,Gonzo,PG-13 - Teens 13 or older,19351,59
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,Spring 2000,Studio Pierrot,R - 17+ (violence & profanity),46228,833
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,Fall 2003,Studio Pierrot,PG-13 - Teens 13 or older,28277,116
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,Spring 2004,Studio Pierrot,PG-13 - Teens 13 or older,19393,51
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,Fall 2002,Studio Deen,PG-13 - Teens 13 or older,105139,911
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,Summer 2003,Studio Matrix,R+ - Mild Nudity,106208,263
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,Fall 2003,Madhouse,R - 17+ (violence & profanity),161010,1140
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,Fall 2001,Studio Pierrot,PG-13 - Teens 13 or older,111164,2186
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,Fall 1999,Nippon Animation,PG-13 - Teens 13 or older,416227,9525
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,Winter 2005,feel.,R - 17+ (violence & profanity),9900,10
Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,44,Winter 1999,Toei Animation,PG-13 - Teens 13 or older,46140,499
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,Fall 2004,TNK,PG-13 - Teens 13 or older,60077,767
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,Winter 2002,Toei Animation,G - All Ages,55784,248
Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,26,Fall 1998,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,170539,2188
Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,12,Spring 2004,"Gainax, Shaft",R+ - Mild Nudity,54222,178
Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,14,Fall 2003,Studio Fantasia,R+ - Mild Nudity,123752,1072
Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,12,Winter 2004,Studio Deen,PG-13 - Teens 13 or older,7823,9
Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,12,Spring 2005,J.C.Staff,PG-13 - Teens 13 or older,121063,1632
Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,50,Fall 2005,Production I.G,R - 17+ (violence & profanity),317767,4623
Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,24,Fall 2005,Gonzo,R - 17+ (violence & profanity),25666,124
Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,45,Spring 2002,Studio Pierrot,PG-13 - Teens 13 or older,113627,2261
Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,64,Summer 2001,Xebec,PG-13 - Teens 13 or older,294021,3672
X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,24,Fall 2001,Madhouse,R+ - Mild Nudity,69684,796
Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,26,Winter 2005,Xebec,PG-13 - Teens 13 or older,121120,601
Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,13,Winter 2004,Studio Deen,PG-13 - Teens 13 or older,53511,663
Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,24,Spring 2004,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,16632,43
"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,13,Fall 1999,AIC,R - 17+ (violence & profanity),108100,1018
Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,24,Fall 2003,Gonzo,R - 17+ (violence & profanity),50151,307
Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,26,Spring 2002,Madhouse,G - All Ages,20422,104
Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,26,Spring 1999,Studio Pierrot,PG - Children,6378,20
RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,26,Winter 2002,Bones,PG-13 - Teens 13 or older,100343,949
Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",TV,26,Summer 2004,Gonzo,PG-13 - Teens 13 or older,110124,744
Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,24,Spring 2003,Bones,PG-13 - Teens 13 or older,81917,433
s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,26,Summer 2001,Sunrise,PG-13 - Teens 13 or older,72311,673
Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,12,Fall 2003,J.C.Staff,R - 17+ (violence & profanity),135721,654
Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,101,Fall 1993,Toei Animation,PG-13 - Teens 13 or older,201203,5471
Strange Dawn,6.35,"Adventure, Drama, Fantasy",TV,13,Summer 2000,Hal Film Maker,PG - Children,4112,7
Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,25,Fall 2004,Studio Deen,PG-13 - Teens 13 or older,36569,184
Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,24,Spring 2004,Madhouse,R - 17+ (violence & profanity),158482,647
Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,26,Spring 2002,Studio Pierrot,PG-13 - Teens 13 or older,25243,41
Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,26,Spring 2005,Bee Train,PG-13 - Teens 13 or older,195978,2284
Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",TV,26,Spring 2003,Production Reed,G - All Ages,27718,141
Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,Fall 2000,Gonzo,PG-13 - Teens 13 or older,73554,436
Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,13,Fall 2001,Gonzo,PG-13 - Teens 13 or older,47649,117
Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,26,Spring 1996,Sunrise,PG-13 - Teens 13 or older,127239,2086
Whistle!,7.39,"School, Shounen, Sports",TV,39,Spring 2002,Studio Comet,G - All Ages,12063,73
Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",TV,12,Winter 2005,Toei Animation,PG-13 - Teens 13 or older,17824,46
Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,26,Spring 1998,"Gallop, Studio Comet",PG-13 - Teens 13 or older,229315,6949
Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",TV,13,Fall 1999,Pastel,PG-13 - Teens 13 or older,134642,691
Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24,Spring 2000,Xebec,PG-13 - Teens 13 or older,225891,1584
Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",TV,24,Fall 2003,J.C.Staff,R+ - Mild Nudity,85634,259
Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School",TV,12,Winter 2002,Daume,PG-13 - Teens 13 or older,147889,926
Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi",TV,12,Summer 2003,Daume,PG-13 - Teens 13 or older,77733,192
Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,24,Spring 2002,"Madhouse, Imagin",R+ - Mild Nudity,21968,51
Speed Grapher,7.35,"Action, Mystery, Super Power",TV,24,Spring 2005,Gonzo,R+ - Mild Nudity,95801,602
Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen",TV,50,Spring 2002,TMS Entertainment,PG-13 - Teens 13 or older,22832,133
Wolf's Rain,7.82,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,Winter 2003,Bones,PG-13 - Teens 13 or older,271685,5716
Yumeria,6.11,"Action, Comedy, Ecchi, Harem, Super Power",TV,12,Winter 2004,Studio Deen,PG-13 - Teens 13 or older,24902,35
Samurai Champloo,8.5,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,Spring 2004,Manglobe,R - 17+ (violence & profanity),892196,29414
Lodoss-tou Senki: Eiyuu Kishi Den,7.16,"Action, Adventure, Drama, Magic, Romance, Fantasy",TV,27,Spring 1998,AIC,PG-13 - Teens 13 or older,25344,117
R.O.D: The TV,7.55,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",TV,26,Fall 2003,J.C.Staff,PG-13 - Teens 13 or older,61604,423
Ranma ½,7.76,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",TV,161,Spring 1989,Studio Deen,R+ - Mild Nudity,194975,3665
Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",TV,26,Fall 1996,Xebec,PG-13 - Teens 13 or older,43756,420
Mezzo DSA,6.68,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,13,Winter 2004,Arms,R+ - Mild Nudity,17246,33
Dragon Ball,8,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,Winter 1986,Toei Animation,PG-13 - Teens 13 or older,735546,13454
Dragon Ball GT,6.48,"Action, Sci-Fi, Adventure, Comedy, Super Power, Magic, Fantasy, Shounen",TV,64,Winter 1996,Toei Animation,PG-13 - Teens 13 or older,472177,1878
Elfen Lied,7.56,"Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen",TV,13,Summer 2004,Arms,R+ - Mild Nudity,1187921,23830
Jigoku Shoujo,7.65,"Mystery, Horror, Psychological, Supernatural",TV,26,Fall 2005,Studio Deen,R - 17+ (violence & profanity),286869,3283
Ninin ga Shinobuden,6.92,"Comedy, Parody, Martial Arts",TV,12,Summer 2004,ufotable,R - 17+ (violence & profanity),30291,142
Air Master,7.02,"Action, Comedy, Martial Arts, Seinen",TV,27,Spring 2003,Toei Animation,R - 17+ (violence & profanity),32762,155
Asagiri no Miko,6.18,"Action, Comedy, Supernatural, Fantasy, Seinen",TV,26,Summer 2002,"Chaos Project, GANSIS",PG - Children,6599,6
Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo",TV,70,Spring 1998,Madhouse,PG - Children,338021,12901
Daa! Daa! Daa!,7.65,"Comedy, Sci-Fi, Shoujo",TV,78,Spring 2000,J.C.Staff,G - All Ages,20155,262
Dan Doh!!,6.69,"Adventure, Sports, Shounen",TV,26,Spring 2004,Tokyo Kids,G - All Ages,3514,5
E's Otherwise,6.64,"Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural",TV,26,Spring 2003,Studio Pierrot,PG-13 - Teens 13 or older,14745,29
Koukyoushihen Eureka Seven,8.09,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,Spring 2005,Bones,PG-13 - Teens 13 or older,379048,9241
Rekka no Honoo,7.36,"Action, Adventure, Martial Arts, Shounen, Super Power",TV,42,Summer 1997,Studio Pierrot,PG-13 - Teens 13 or older,54580,273
Gankutsuou,8.17,"Drama, Mystery, Sci-Fi, Supernatural, Thriller",TV,24,Fall 2004,Gonzo,R - 17+ (violence & profanity),193810,3521
Genshiken,7.66,"Slice of Life, Comedy, Parody",TV,12,Fall 2004,Palm Studio,PG-13 - Teens 13 or older,150618,1330
Girls Bravo: First Season,6.45,"Harem, Comedy, Romance, Ecchi, Fantasy, School, Shounen",TV,11,Summer 2004,AIC Spirits,R+ - Mild Nudity,123337,329
Gokusen,7.42,"Slice of Life, Comedy, Drama, School, Josei",TV,13,Winter 2004,Madhouse,R - 17+ (violence & profanity),34951,210
Gravitation,7.02,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,13,Fall 2000,Studio Deen,PG-13 - Teens 13 or older,100585,1322
Agatha Christie no Meitantei Poirot to Marple,6.88,"Historical, Mystery",TV,39,Summer 2004,OLM,G - All Ages,6279,20
Great Teacher Onizuka,8.7,"Slice of Life, Comedy, Drama, School, Shounen",TV,43,Summer 1999,Studio Pierrot,R - 17+ (violence & profanity),589324,20870
Groove Adventure Rave,7.27,"Adventure, Comedy, Fantasy, Romance, Shounen",TV,51,Fall 2001,Studio Deen,PG-13 - Teens 13 or older,84354,381
Harukanaru Toki no Naka de: Hachiyou Shou,7.05,"Fantasy, Magic, Supernatural, Demons, Historical, Shoujo",TV,26,Fall 2004,Yumeta Company,PG-13 - Teens 13 or older,20801,123
Ichigo 100%,6.68,"Comedy, Ecchi, Harem, Romance, Shounen",TV,12,Spring 2005,Madhouse,PG-13 - Teens 13 or older,96555,262
InuYasha,7.85,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen",TV,167,Fall 2000,Sunrise,PG-13 - Teens 13 or older,588434,17186
Konjiki no Gash Bell!!,7.55,"Adventure, Comedy, Demons, Supernatural, Magic, Shounen",TV,150,Spring 2003,Toei Animation,PG-13 - Teens 13 or older,97615,1143
